column	type	plain_pages	rle_dict_pages	comparison_windows	rows_compared	plain_window_wins	rle_dict_window_wins	tie_window_wins	plain_window_win_pct	rle_dict_window_win_pct	tie_window_win_pct	plain_rows_won	rle_dict_rows_won	tie_rows_won	plain_row_win_pct	rle_dict_row_win_pct	tie_row_win_pct	plain_allocated_compressed_bytes	rle_dict_allocated_compressed_bytes_with_amortized_dictionary	rle_dict_allocated_vs_plain_pct	winner_by_allocated_bytes	plain_total_page_compressed_bytes	rle_dict_total_page_compressed_bytes_with_amortized_dictionary	exact_matched_pages	exact_plain_wins	exact_rle_dict_wins	exact_ties	unmatched_plain_pages	unmatched_rle_dict_pages
ParamCurrency	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	86.000000	104.000000	20.930233	plain	86.000000	104.000000	1	1	0	0	0	0
ParamCurrencyID	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	72.000000	105.000000	45.833333	plain	72.000000	105.000000	1	1	0	0	0	0
ParamOrderID	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	48.000000	89.000000	85.416667	plain	48.000000	89.000000	1	1	0	0	0	0
ParamPrice	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	91.000000	125.000000	37.362637	plain	91.000000	125.000000	1	1	0	0	0	0
Params	STRING	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	48.000000	89.000000	85.416667	plain	48.000000	89.000000	1	1	0	0	0	0
RefererHash	INT(64,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	23587.000000	29820.000000	26.425573	plain	23587.000000	29820.000000	1	1	0	0	0	0
RegionID	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1647.000000	2608.000000	58.348512	plain	1647.000000	2608.000000	1	1	0	0	0	0
RemoteIP	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	3684.000000	7289.000000	97.855592	plain	3684.000000	7289.000000	1	1	0	0	0	0
ResolutionHeight	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1773.000000	2087.000000	17.710096	plain	1773.000000	2087.000000	1	1	0	0	0	0
ResolutionWidth	INT(16,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	1819.000000	2152.000000	18.306762	plain	1819.000000	2152.000000	1	1	0	0	0	0
ResponseEndTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	6951.000000	7911.000000	13.810962	plain	6951.000000	7911.000000	1	1	0	0	0	0
ResponseStartTiming	INT(32,true)	1	1	1	10000	1	0	0	100.000000	0.000000	0.000000	10000	0	0	100.000000	0.000000	0.000000	8157.000000	9718.000000	19.136938	plain	8157.000000	9718.000000	1	1	0	0	0	0
